Year,Month,Day,Status,Note
2011,12,29,blocked,"Many politicians' names are blocked on Weibo, so the blocking of Bo Xilai from searching on Weibo is unremarkable."
2011,12,30,presumed-blocked,
2011,12,31,presumed-blocked,
2012,1,1,presumed-blocked,
2012,1,2,presumed-blocked,
2012,1,3,presumed-blocked,
2012,1,4,presumed-blocked,
2012,1,5,presumed-blocked,
2012,1,6,presumed-blocked,
2012,1,7,presumed-blocked,
2012,1,8,presumed-blocked,
2012,1,9,presumed-blocked,
2012,1,10,presumed-blocked,
2012,1,11,presumed-blocked,
2012,1,12,presumed-blocked,
2012,1,13,presumed-blocked,
2012,1,14,presumed-blocked,
2012,1,15,presumed-blocked,
2012,1,16,presumed-blocked,
2012,1,17,presumed-blocked,
2012,1,18,presumed-blocked,
2012,1,19,presumed-blocked,
2012,1,20,blocked,"As late as January 2012, Bo was widely viewed as a likely candidate to be promoted to the Politburo Standing Committee, the Chinese Communist Party's (and by extension, China's) highest governing body."
2012,1,21,no-data,
2012,1,22,no-data,
2012,1,23,no-data,
2012,1,24,no-data,
2012,1,25,no-data,
2012,1,26,no-data,
2012,1,27,no-data,
2012,1,28,no-data,
2012,1,29,no-data,
2012,1,30,no-data,
2012,1,31,no-data,
2012,2,1,no-data,
2012,2,2,no-data,
2012,2,3,no-data,
2012,2,4,no-data,
2012,2,5,unblocked,
2012,2,6,no-data,"Wang Lijun, police chief of Chongqing and a top aide to Bo, secretly visits the American embassy in Chengdu, allegedly seeking asylum in exchange for providing evidence against Bo."
2012,2,7,no-data,Wang Lijun (王立军) is intermittently blocked from searching. It is speculated that the unblocking of his name might be a decision by authorities to damage Bo.
2012,2,8,no-data,Wang Lijun (王立军) is intermittently blocked from searching. It is speculated that the unblocking of his name might be a decision by authorities to damage Bo.
2012,2,9,no-data,
2012,2,10,blocked,
2012,2,11,presumed-blocked,
2012,2,12,presumed-blocked,
2012,2,13,presumed-blocked,
2012,2,14,presumed-blocked,
2012,2,15,presumed-blocked,
2012,2,16,presumed-blocked,"The New York Times reports that despite the widening scandal, Bo might very well survive the damage and that his promotion to the Politburo Standing Committee  can't be ruled out."
2012,2,17,presumed-blocked,
2012,2,18,presumed-blocked,
2012,2,19,presumed-blocked,
2012,2,20,presumed-blocked,
2012,2,21,presumed-blocked,Rumours circulate online and in Hong Kong media that Bo offered to resign his Politburo seat.
2012,2,22,presumed-blocked,
2012,2,23,presumed-blocked,
2012,2,24,presumed-blocked,
2012,2,25,presumed-blocked,
2012,2,26,presumed-blocked,
2012,2,27,blocked,
2012,2,28,presumed-blocked,
2012,2,29,presumed-blocked,
2012,3,1,presumed-blocked,
2012,3,2,presumed-blocked,
2012,3,3,presumed-blocked,
2012,3,4,presumed-blocked,
2012,3,5,presumed-blocked,
2012,3,6,presumed-blocked,
2012,3,7,presumed-blocked,"According to reports, the Politburo Standing Committee secretly votes to investigate Bo."
2012,3,8,presumed-blocked,"Bo doesn't appear at the National People's Congress (NPC), fueling speculation that he is on the way out. He later makes a public speech outside NPC chambers, admitting personal failures but also championing his successes and denying rumours that he offered to resign."
2012,3,9,presumed-blocked,
2012,3,10,presumed-blocked,
2012,3,11,presumed-blocked,
2012,3,12,blocked,
2012,3,13,no-data,
2012,3,14,unblocked,"Wen Jiabao remarks at the NPC that China must avoid another ""historical tragedy"" like the Cultural Revolution, a statement widely seen as criticism of Bo's Mao-style leadership. The unblocking of Bo Xilai just before his removal as Chongqing chief is widely seen as a tacit approval for netizens and media companies to spread criticism of Bo."
2012,3,15,unblocked,"Bo is officially dismissed as party secretary of Chongqing, but temporarily retains  his Politburo seat."
2012,3,16,blocked,
2012,3,17,blocked,
2012,3,18,presumed-blocked,
2012,3,19,presumed-blocked,
2012,3,20,presumed-blocked,Coup d’état (政变) is blocked from searching on Weibo as rumours about an impending overthrow of the Chinese government initiated by the military on behalf of Bo spread throughout Chinese message boards and social media.
2012,3,21,presumed-blocked,
2012,3,22,presumed-blocked,
2012,3,23,presumed-blocked,
2012,3,24,presumed-blocked,
2012,3,25,presumed-blocked,
2012,3,26,blocked,
2012,3,27,no-data,
2012,3,28,unblocked,
2012,3,29,unblocked,
2012,3,30,presumed-unblocked,The State Internet Information Office announces that Sina and Tencent Weibo's comments system will be disabled for three days as a punishment for failing to curtail rumours about a Bo Xilai-inspired coup. 
2012,3,31,presumed-unblocked,
2012,4,1,presumed-unblocked,
2012,4,2,unblocked,
2012,4,3,no-data,
2012,4,4,no-data,
2012,4,5,blocked,
2012,4,6,presumed-blocked,
2012,4,7,presumed-blocked,
2012,4,8,blocked,
2012,4,9,presumed-blocked,
2012,4,10,blocked,Bo is officially removed from his Central Committee and Politburo posts.
2012,4,11,presumed-blocked,
2012,4,12,presumed-blocked,
2012,4,13,presumed-blocked,
2012,4,14,presumed-blocked,
2012,4,15,presumed-blocked,
2012,4,16,blocked,
2012,4,17,presumed-blocked,
2012,4,18,presumed-blocked,
2012,4,19,presumed-blocked,
2012,4,20,presumed-blocked,
2012,4,21,blocked,"Over the summer of 2012, more rumours of Bo's improprieties surface, including allegations of wire-tapping other official's phones, womanizing, and plotting to kill Wang Lijun. Stories of how Bo Xilai's wife Gu Kailai was involved with the suspicious death of British national Neil Heywood also circulate."
2012,4,22,presumed-blocked,
2012,4,23,blocked,
2012,4,24,blocked,
2012,4,25,presumed-blocked,
2012,4,26,blocked,
2012,4,27,presumed-blocked,
2012,4,28,presumed-blocked,
2012,4,29,blocked,
2012,4,30,presumed-blocked,
2012,5,1,blocked,
2012,5,2,blocked,
2012,5,3,presumed-blocked,
2012,5,4,presumed-blocked,
2012,5,5,blocked,
2012,5,6,presumed-blocked,
2012,5,7,blocked,
2012,5,8,presumed-blocked,
2012,5,9,presumed-blocked,
2012,5,10,presumed-blocked,
2012,5,11,presumed-blocked,
2012,5,12,presumed-blocked,
2012,5,13,presumed-blocked,
2012,5,14,presumed-blocked,
2012,5,15,presumed-blocked,
2012,5,16,blocked,
2012,5,17,presumed-blocked,
2012,5,18,presumed-blocked,
2012,5,19,presumed-blocked,
2012,5,20,presumed-blocked,
2012,5,21,presumed-blocked,
2012,5,22,presumed-blocked,
2012,5,23,presumed-blocked,
2012,5,24,presumed-blocked,
2012,5,25,presumed-blocked,
2012,5,26,presumed-blocked,
2012,5,27,presumed-blocked,
2012,5,28,presumed-blocked,
2012,5,29,blocked,
2012,5,30,presumed-blocked,
2012,5,31,blocked,
2012,6,1,presumed-blocked,
2012,6,2,presumed-blocked,
2012,6,3,presumed-blocked,
2012,6,4,presumed-blocked,
2012,6,5,presumed-blocked,
2012,6,6,presumed-blocked,
2012,6,7,presumed-blocked,
2012,6,8,presumed-blocked,
2012,6,9,presumed-blocked,
2012,6,10,presumed-blocked,
2012,6,11,presumed-blocked,
2012,6,12,presumed-blocked,
2012,6,13,presumed-blocked,
2012,6,14,presumed-blocked,
2012,6,15,presumed-blocked,
2012,6,16,presumed-blocked,
2012,6,17,blocked,
2012,6,18,presumed-blocked,
2012,6,19,presumed-blocked,
2012,6,20,presumed-blocked,
2012,6,21,presumed-blocked,
2012,6,22,blocked,
2012,6,23,presumed-blocked,
2012,6,24,presumed-blocked,
2012,6,25,presumed-blocked,
2012,6,26,presumed-blocked,
2012,6,27,presumed-blocked,
2012,6,28,presumed-blocked,
2012,6,29,presumed-blocked,
2012,6,30,presumed-blocked,
2012,7,1,presumed-blocked,
2012,7,2,presumed-blocked,
2012,7,3,blocked,
2012,7,4,presumed-blocked,
2012,7,5,presumed-blocked,
2012,7,6,presumed-blocked,
2012,7,7,presumed-blocked,
2012,7,8,presumed-blocked,
2012,7,9,presumed-blocked,
2012,7,10,presumed-blocked,
2012,7,11,presumed-blocked,
2012,7,12,presumed-blocked,
2012,7,13,presumed-blocked,
2012,7,14,presumed-blocked,
2012,7,15,presumed-blocked,
2012,7,16,presumed-blocked,
2012,7,17,presumed-blocked,
2012,7,18,presumed-blocked,
2012,7,19,presumed-blocked,
2012,7,20,presumed-blocked,
2012,7,21,blocked,
2012,7,22,presumed-blocked,
2012,7,23,presumed-blocked,
2012,7,24,presumed-blocked,
2012,7,25,presumed-blocked,
2012,7,26,blocked,Gu Kailai is officially charged with the murder of Neil Heywood. She admits her guilt and receives a suspended death sentence on August 20.
2012,7,27,presumed-blocked,
2012,7,28,presumed-blocked,
2012,7,29,presumed-blocked,
2012,7,30,presumed-blocked,
2012,7,31,presumed-blocked,
2012,8,1,presumed-blocked,
2012,8,2,presumed-blocked,
2012,8,3,presumed-blocked,
2012,8,4,presumed-blocked,
2012,8,5,presumed-blocked,
2012,8,6,blocked,
2012,8,7,presumed-blocked,
2012,8,8,presumed-blocked,
2012,8,9,presumed-blocked,
2012,8,10,presumed-blocked,
2012,8,11,presumed-blocked,
2012,8,12,presumed-blocked,
2012,8,13,presumed-blocked,
2012,8,14,presumed-blocked,
2012,8,15,presumed-blocked,
2012,8,16,presumed-blocked,
2012,8,17,presumed-blocked,
2012,8,18,presumed-blocked,
2012,8,19,blocked,
2012,8,20,presumed-blocked,
2012,8,21,presumed-blocked,
2012,8,22,presumed-blocked,
2012,8,23,presumed-blocked,
2012,8,24,presumed-blocked,
2012,8,25,presumed-blocked,
2012,8,26,presumed-blocked,
2012,8,27,presumed-blocked,
2012,8,28,presumed-blocked,
2012,8,29,presumed-blocked,
2012,8,30,presumed-blocked,
2012,8,31,presumed-blocked,
2012,9,1,presumed-blocked,
2012,9,2,presumed-blocked,
2012,9,3,presumed-blocked,
2012,9,4,presumed-blocked,
2012,9,5,blocked,
2012,9,6,no-data,
2012,9,7,no-data,
2012,9,8,no-data,
2012,9,9,no-data,
2012,9,10,no-data,
2012,9,11,no-data,
2012,9,12,no-data,
2012,9,13,no-data,
2012,9,14,no-data,
2012,9,15,no-data,
2012,9,16,no-data,
2012,9,17,no-data,
2012,9,18,no-data,
2012,9,19,no-data,
2012,9,20,no-data,
2012,9,21,no-data,
2012,9,22,no-data,
2012,9,23,no-data,
2012,9,24,no-data,Wang Lijun is convicted for abuse of power and bribe-taking. He is sentenced to 15 years in prison.
2012,9,25,no-data,
2012,9,26,no-data,
2012,9,27,no-data,
2012,9,28,unblocked,Xinhua reports that Bo is officially expelled from the Chinese Communist Party.
2012,9,29,presumed-unblocked,"Even though his name is unblocked, keywords which express support for Bo Xilai (支持+薄: ""support Bo""; 拥护+薄: ""endorse Bo"") are still blocked."
2012,9,30,presumed-unblocked,
2012,10,1,presumed-unblocked,
2012,10,2,unblocked,
2012,10,3,presumed-unblocked,
2012,10,4,presumed-unblocked,
2012,10,5,unblocked,
2012,10,6,unblocked,
2012,10,7,unblocked,
2012,10,8,presumed-unblocked,
2012,10,9,presumed-unblocked,
2012,10,10,presumed-unblocked,
2012,10,11,presumed-unblocked,
2012,10,12,presumed-unblocked,
2012,10,13,presumed-unblocked,
2012,10,14,presumed-unblocked,
2012,10,15,presumed-unblocked,
2012,10,16,presumed-unblocked,
2012,10,17,presumed-unblocked,
2012,10,18,presumed-unblocked,
2012,10,19,presumed-unblocked,
2012,10,20,presumed-unblocked,
2012,10,21,presumed-unblocked,
2012,10,22,presumed-unblocked,
2012,10,23,presumed-unblocked,
2012,10,24,presumed-unblocked,
2012,10,25,presumed-unblocked,
2012,10,26,presumed-unblocked,"Bo is officially removed from the National People's Cogress, his last remaining state post."
2012,10,27,presumed-unblocked,
2012,10,28,unblocked,
2012,10,29,presumed-unblocked,
2012,10,30,presumed-unblocked,
2012,10,31,presumed-unblocked,
2012,11,1,presumed-unblocked,
2012,11,2,presumed-unblocked,
2012,11,3,presumed-unblocked,
2012,11,4,presumed-unblocked,The Central Committee endorses removal of Bo from the Chinese Communist Party.
2012,11,5,presumed-unblocked,
2012,11,6,presumed-unblocked,
2012,11,7,presumed-unblocked,
2012,11,8,presumed-unblocked,
2012,11,9,presumed-unblocked,
2012,11,10,presumed-unblocked,
2012,11,11,presumed-unblocked,
2012,11,12,presumed-unblocked,
2012,11,13,presumed-unblocked,
2012,11,14,presumed-unblocked,
2012,11,15,presumed-unblocked,
2012,11,16,presumed-unblocked,
2012,11,17,presumed-unblocked,
2012,11,18,presumed-unblocked,
2012,11,19,presumed-unblocked,
2012,11,20,presumed-unblocked,
2012,11,21,presumed-unblocked,
2012,11,22,presumed-unblocked,
2012,11,23,presumed-unblocked,
2012,11,24,unblocked,
2012,11,25,presumed-unblocked,
2012,11,26,presumed-unblocked,
2012,11,27,presumed-unblocked,
2012,11,28,presumed-unblocked,
2012,11,29,presumed-unblocked,
2012,11,30,presumed-unblocked,
2012,12,1,presumed-unblocked,
2012,12,2,presumed-unblocked,
2012,12,3,presumed-unblocked,
2012,12,4,presumed-unblocked,
2012,12,5,presumed-unblocked,
2012,12,6,presumed-unblocked,
2012,12,7,presumed-unblocked,
2012,12,8,presumed-unblocked,
2012,12,9,presumed-unblocked,
2012,12,10,presumed-unblocked,
2012,12,11,presumed-unblocked,
2012,12,12,presumed-unblocked,
2012,12,13,presumed-unblocked,
2012,12,14,presumed-unblocked,
2012,12,15,presumed-unblocked,
2012,12,16,unblocked,
2012,12,17,presumed-unblocked,
2012,12,18,presumed-unblocked,
2012,12,19,presumed-unblocked,
2012,12,20,presumed-unblocked,
2012,12,21,presumed-unblocked,
2012,12,22,presumed-unblocked,
2012,12,23,presumed-unblocked,
2012,12,24,presumed-unblocked,
2012,12,25,presumed-unblocked,
2012,12,26,presumed-unblocked,
2012,12,27,presumed-unblocked,
2012,12,28,presumed-unblocked,
2012,12,29,presumed-unblocked,
2012,12,30,presumed-unblocked,
2012,12,31,presumed-unblocked,
2013,1,1,unblocked,
2013,1,2,presumed-unblocked,
2013,1,3,presumed-unblocked,
2013,1,4,presumed-unblocked,
2013,1,5,presumed-unblocked,
2013,1,6,presumed-unblocked,
2013,1,7,presumed-unblocked,
2013,1,8,presumed-unblocked,
2013,1,9,presumed-unblocked,
2013,1,10,presumed-unblocked,
2013,1,11,presumed-unblocked,
2013,1,12,presumed-unblocked,
2013,1,13,presumed-unblocked,
2013,1,14,presumed-unblocked,
2013,1,15,presumed-unblocked,
2013,1,16,unblocked,
2013,1,17,presumed-unblocked,
2013,1,18,presumed-unblocked,
2013,1,19,presumed-unblocked,
2013,1,20,presumed-unblocked,
2013,1,21,presumed-unblocked,
2013,1,22,unblocked,
2013,1,23,presumed-unblocked,
2013,1,24,unblocked,
2013,1,25,presumed-unblocked,
2013,1,26,presumed-unblocked,
2013,1,27,presumed-unblocked,
2013,1,28,presumed-unblocked,
2013,1,29,presumed-unblocked,
2013,1,30,unblocked,
2013,1,31,presumed-unblocked,
2013,2,1,presumed-unblocked,
2013,2,2,presumed-unblocked,
2013,2,3,presumed-unblocked,
2013,2,4,unblocked,
2013,2,5,presumed-unblocked,
2013,2,6,presumed-unblocked,
2013,2,7,presumed-unblocked,
