URL,Theme,Internet Tools
http://www.debteraw.com,HAL,Conflict/Security
http://www.seminawork.blogspot.com,HAL,Conflict/Security
http://yekolotemari.blog.com,HAL,Conflict/Security
http://www.eppf.net,MILX,Conflict/Security
http://www.eprp.com,MILX,Conflict/Security
http://download.cnet.com/freegate/3000-2085_4-10415391.html,ANON,Internet Tools
http://hidemyass.com,ANON,Internet Tools
http://proxify.com,ANON,Internet Tools
http://proxytools.sourceforge.net,ANON,Internet Tools
http://ultrasurf.us,ANON,Internet Tools
http://www.anonymizer.ru,ANON,Internet Tools
http://www.http-tunnel.com,ANON,Internet Tools
http://www.jmarshall.com/tools/cgiproxy/,ANON,Internet Tools
http://www.multiproxy.org,ANON,Internet Tools
http://www.peoplesproxy.com,ANON,Internet Tools
http://www.proxyweb.net,ANON,Internet Tools
http://www.stupidcensorship.com,ANON,Internet Tools
http://nazret.com,FEXP,Political
http://tinyurl.com,BLGSERV,Internet Tools
http://psiphon.ca,FEXP ANON,Internet Tools
http://www.anonymizer.com,FEXP ANON,Internet Tools
https://www.torproject.org,FEXP ANON,Internet Tools
http://ethiomedia.com,FEXP,Political
http://ethiox.com,FEXP,Political
http://nazret.com/blog/index.php?blog=13,FEXP,Political
http://nazret.com/blog/index.php?blog=7,FEXP,Political
http://www.addisnegeronline.com,FEXP,Political
http://www.alarabiya.net,FEXP,Political
http://www.aljazeera.net,FEXP,Political
http://www.andenet.com,FEXP,Political
http://www.andenet.com/amnews.html,FEXP,Political
http://www.cyberethiopia.com,FEXP,Political
http://www.cyberethiopia.com/warka4/,FEXP,Political
http://www.ethioforum.org,FEXP,Political
http://www.ethiopianreview.com,FEXP,Political
http://www.ethiopians.com,FEXP,Political
http://www.nazret.com,FEXP,Political
http://www.nazret.com/news/view_amharic.php?feed=5&what=all&how=paged,FEXP,Political
http://www.quatero.net,FEXP,Political
http://www.tzta.ca,FEXP,Political
http://www.tzta.ca/tzta/english.htm,FEXP,Political
http://www.addisvoice.com,HUMR,Political
http://www.ethiopians.com/hright.html,HUMR,Political
http://www.ethiopundit.blogspot.com,HUMR,Political
http://www.freekifle.org,HUMR,Political
http://www.justiceinethiopia.net,HUMR,Political
http://www.mesfinwoldemariam.org,HUMR,Political
http://www.socepp.de,HUMR,Political
http://www.tegbar.org,HUMR,Political
http://www.uedpmedhin.org,HUMR,Political
http://www.anuakjustice.org,MINR,Political
http://www.gumii.org,MINR,Political
http://www.ogaden.com,MINR,Political
http://www.onlf.org,MINR,Political
http://www.oromia.org,MINR,Political
http://www.oromoliberationfront.org,MINR,Political
http://www.unpo.org,MINR MISC,Political
http://nazret.com/blog/index.php?blog=14,MISC,Political
http://ethiopianreview.com,POLR,Political
http://nazret.com/blog/index.php?blog=15,POLR,Political
http://www.ginbot7.com,POLR,Political
http://www.meskelsquare.com,POLR,Political
http://nazret.com/blog/index.php?blog=12,POLT,Political
http://nazret.com/blog/index.php?blog=16,POLT,Political
http://nazret.com/blog/index.php?blog=9,POLT,Political
http://solidaritytigrai.org,POLT,Political
http://www.cafpde.org,POLT,Political
http://www.cafpde.org/cafpde/,POLT,Political
http://www.cafpde.org/index.htm,POLT,Political
http://www.hebret.com,POLT,Political
http://www.medhin.org,POLT,Political
http://www.mediaethiopia.com,POLT,Political
http://www.mediaethiopia.com/blog/,POLT,Political
