"uid","url","proxy_used","oman_block_social?","oman_block_laws?","india_block?"
"1","http://arizona.indymedia.org","http://OMAN_PROXY1:8080",,,
"2","http://commonfolkcommonsense.blogspot.com","http://OMAN_PROXY1:8080",,,
"3","http://commonfolkcommonsense.blogspot.com","http://OMAN_PROXY2:80",,,
"4","http://commonfolkcommonsense.blogspot.com",,,,
"5","http://donotdial100.webs.com","http://OMAN_PROXY1:8080",,,
"6","http://donotdial100.webs.com","http://OMAN_PROXY2:80",,,
"7","http://donotdial100.webs.com",,,,
"8","http://exposingtheleft.blogspot.com","http://OMAN_PROXY1:8080",,,
"9","http://exposingtheleft.blogspot.com","http://OMAN_PROXY2:80",,,
"10","http://exposingtheleft.blogspot.com",,,,
"11","http://hinduhumanrights.org","http://OMAN_PROXY1:8080",,,
"12","http://hinduhumanrights.org","http://OMAN_PROXY2:80",,,
"13","http://hinduhumanrights.org",,,,
"14","http://kafila.org","http://OMAN_PROXY1:8080",,,
"15","http://kafila.org","http://OMAN_PROXY2:80",,,
"16","http://kafila.org",,,,
"17","http://kirtu.com","http://OMAN_PROXY1:8080","yes",,
"18","http://kirtu.com","http://OMAN_PROXY2:80","yes",,
"19","http://kirtu.com",,,,
"20","http://mackers-world.com","http://OMAN_PROXY1:8080",,,
"21","http://mackers-world.com","http://OMAN_PROXY2:80",,,
"22","http://mackers-world.com",,,,
"23","http://pajamaeditors.blogspot.com","http://OMAN_PROXY1:8080",,,
"24","http://pajamaeditors.blogspot.com","http://OMAN_PROXY2:80",,,
"25","http://pajamaeditors.blogspot.com",,,,
"26","http://princesskimberley.blogspot.com","http://OMAN_PROXY1:8080","yes",,
"27","http://princesskimberley.blogspot.com","http://OMAN_PROXY2:80","yes",,
"28","http://princesskimberley.blogspot.com",,,,
"29","http://rahulyadav.com","http://OMAN_PROXY1:8080",,,
"30","http://rahulyadav.com","http://OMAN_PROXY2:80",,,
"31","http://rahulyadav.com",,,,
"32","http://thepiratescove.us","http://OMAN_PROXY1:8080",,,
"33","http://thepiratescove.us","http://OMAN_PROXY2:80",,,
"34","http://thepiratescove.us",,,,
"35","http://web.amnesty.org/library/Index/ENGASA200051998?open&of=ENG-IND","http://OMAN_PROXY1:8080",,,
"36","http://web.amnesty.org/library/Index/ENGASA200051998?open&of=ENG-IND","http://OMAN_PROXY2:80",,,
"37","http://web.amnesty.org/library/Index/ENGASA200051998?open&of=ENG-IND",,,,
"38","http://www.ajk.gov.pk","http://OMAN_PROXY1:8080",,,
"39","http://www.ajk.gov.pk","http://OMAN_PROXY2:80",,,
"40","http://www.ajk.gov.pk",,,,
"41","http://www.bajrangdal.org","http://OMAN_PROXY1:8080",,,
"42","http://www.bajrangdal.org","http://OMAN_PROXY2:80",,,
"43","http://www.bajrangdal.org",,,,
"44","http://www.blog.rahulyadav.com","http://OMAN_PROXY1:8080",,,
"45","http://www.blog.rahulyadav.com","http://OMAN_PROXY2:80",,,
"46","http://www.blog.rahulyadav.com",,,,
"47","http://www.bloggernews.net/124029","http://OMAN_PROXY1:8080",,,"yes"
"48","http://www.bloggernews.net/124029","http://OMAN_PROXY2:80",,,"yes"
"49","http://www.chakpak.com/find/images/kamasutra-hindi-movie","http://OMAN_PROXY1:8080",,,"yes"
"50","http://www.chakpak.com/find/images/kamasutra-hindi-movie","http://OMAN_PROXY2:80",,,"yes"
