domain name,category,additional category,additional category,additional category,additional category,additional category,additional category
xhamster.com,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,,
xvideos.com,Video Sharing,Visual Search Engi...,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography
pornhub.com,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,,
youporn.com,Video Sharing,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,
redtube.com,Video Sharing,Adult Themes,Nudity,Pornography,,,
livejasmin.com,Chat,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,
xnxx.com,Video Sharing,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,
tube8.com,Video Sharing,Sexuality,Nudity,Pornography,,,
dmm.co.jp,Nudity,Pornography,,,,,
hardsextube.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
youjizz.com,Adult Themes,Sexuality,Nudity,Pornography,,,
motherless.com,Video Sharing,Adult Themes,Tasteless,Sexuality,Nudity,Pornography,
doublepimp.com,Advertising,Adult Themes,Nudity,Pornography,,,
myfreecams.com,Chat,Nudity,Pornography,,,,
adultfriendfinder.com,Dating,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,
spankwire.com,Nudity,Pornography,,,,,
porntube.com,Video Sharing,Adult Themes,Tasteless,Lingerie/Bikini,Sexuality,Nudity,Pornography
cam4.com,Chat,Adult Themes,Nudity,Pornography,,,
xtube.com,Video Sharing,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,
keezmovies.com,Adult Themes,Sexuality,Nudity,Pornography,,,
4tube.com,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,,
pornerbros.com,Adult Themes,Nudity,Pornography,,,,
yourlust.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
pornhublive.com,Adult Themes,Nudity,Pornography,,,,
privatehomeclips.com,Adult Themes,Nudity,Pornography,,,,
imagefap.com,Visual Search Engi...,Photo Sharing,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography
brazzers.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
alphaporno.com,Adult Themes,Nudity,Pornography,,,,
perfectgirls.net,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,,
adultadworld.com,Advertising,Adult Themes,,,,,
sex.com,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,,
extremetube.com,Tasteless,Sexuality,Nudity,Pornography,,,
888.com,Gambling,Games,Malware,,,,
tnaflix.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
e-hentai.org,Nudity,Pornography,Anime/Manga/Webcom...,,,,
fling.com,Dating,Social Networking,Adult Themes,Nudity,Pornography,,
streamate.com,Adult Themes,Nudity,Pornography,,,,
adult-empire.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
tubegalore.com,Nudity,Pornography,,,,,
dojki.com,Nudity,Pornography,,,,,
anyporn.com,Pornography,,,,,,
slutload.com,Adult Themes,Tasteless,Lingerie/Bikini,Sexuality,Nudity,Pornography,
cliphunter.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
bestsexo.com,Pornography,,,,,,
planetsuzy.org,Adult Themes,Nudity,Pornography,Forums/Message boa...,,,
pornolab.net,P2P/File sharing,Adult Themes,Nudity,Pornography,Forums/Message boa...,,
gfy.com,Nudity,Pornography,,,,,
xhamster.com,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,,
adam4adam.com,Chat,Dating,Instant Messaging,Adult Themes,Nudity,Pornography,
realitykings.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
met-art.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
ah-me.com,Adult Themes,Nudity,Pornography,,,,
xlovecam.com,Nudity,Pornography,,,,,
poringa.net,Adult Themes,Nudity,Pornography,,,,
empflix.com,Video Sharing,Lingerie/Bikini,Nudity,Pornography,,,
hot-sex-tube.com,Nudity,Pornography,,,,,
playboy.com,Nudity,Pornography,,,,,
manhunt.net,Chat,Dating,Adult Themes,Nudity,Pornography,,
yobt.tv,Lingerie/Bikini,Nudity,Pornography,,,,
fetlife.com,Social Networking,Tasteless,Sexuality,Nudity,Pornography,,
visit-x.net,Nudity,Pornography,,,,,
bangbros.com,Adult Themes,Nudity,Pornography,,,,
efukt.com,Adult Themes,Tasteless,Nudity,Pornography,,,
18andabused.com,Pornography,,,,,,
bravoteens.com,Adult Themes,Nudity,Pornography,,,,
vid2c.com,Adult Themes,Sexuality,Nudity,Pornography,,,
bravoerotica.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
seekbang.com,Nudity,Pornography,,,,,
payserve.com,Advertising,Adult Themes,Nudity,Pornography,,,
cerdas.com,Nudity,Pornography,,,,,
pornbb.org,P2P/File sharing,Adult Themes,Lingerie/Bikini,Nudity,Pornography,Forums/Message boa...,
juegos.com,Games,,,,,,
wetplace.com,Tasteless,Nudity,Pornography,,,,
eporner.com,Adult Themes,Tasteless,Lingerie/Bikini,Sexuality,Nudity,Pornography,
imlive.com,Chat,Instant Messaging,Adult Themes,Lingerie/Bikini,Nudity,Pornography,
loveplanet.ru,Dating,,,,,,
deviantclip.com,Adult Themes,Tasteless,Lingerie/Bikini,Sexuality,Nudity,Pornography,
elephanttube.com,Nudity,Pornography,,,,,
teensnow.com,Adult Themes,Nudity,Pornography,,,,
adultwork.com,Adult Themes,Sexuality,Nudity,Pornography,,,
joyclub.de,Dating,Adult Themes,Sexuality,Pornography,,,
mature-beauty.com,Lingerie/Bikini,Nudity,Pornography,,,,
flirt4free.com,Chat,Dating,Adult Themes,Sexuality,Nudity,Pornography,
madthumbs.com,Adult Themes,Sexuality,Nudity,Pornography,,,
milfmovs.com,Adult Themes,Sexuality,Nudity,Pornography,,,
poppen.de,Adult Themes,Nudity,Pornography,,,,
watchmygf.com,Nudity,Pornography,,,,,
shufuni.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
zakzak.co.jp,News/Media,Lingerie/Bikini,,,,,
aebn.net,Adult Themes,Nudity,Pornography,,,,
orgasmatrix.com,Adult Themes,Nudity,Pornography,,,,
gigporno.com,Nudity,Pornography,,,,,
youngleafs.com,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,,
clips4sale.com,Ecommerce/Shopping,Sexuality,Nudity,Pornography,,,
debonairblog.com,Blogs,Adult Themes,Nudity,Pornography,,,
dreammovies.com,Adult Themes,Nudity,Pornography,,,,
pornpros.com,Adult Themes,Nudity,Pornography,,,,
phun.org,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
hornymatches.com,Dating,Adult Themes,Nudity,Pornography,,,
twistys.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
nubiles.net,Lingerie/Bikini,Nudity,Pornography,,,,
thenewporn.com,Pornography,,,,,,
sexlunch.com,Pornography,,,,,,
mofos.com,Nudity,Pornography,,,,,
naked.com,Adult Themes,Nudity,Pornography,,,,
thehun.com,Adult Themes,Lingerie/Bikini,Nudity,Pornography,,,
serviporno.com,Pornography,,,,,,
intporn.com,Nudity,Pornography,Forums/Message boa...,,,,
gaytube.com,Video Sharing,Adult Themes,Nudity,Pornography,,,
collarme.com,Dating,Adult Themes,Sexuality,Nudity,Pornography,,
zbiornik.com,Nudity,Pornography,,,,,
fakku.net,Games,Adult Themes,Lingerie/Bikini,Sexuality,Nudity,Pornography,Forums/Message boa...
