urlId,url,theme,urlCategories,generalStatus
4363,http://www.anonymizer.com,Internet Tools,ANON,BLOCKED
11723,http://www.ultimate-anonymity.com,Internet Tools,ANON,BLOCKED
1014,http://danteam.com,Internet Tools,BLGSERV,BLOCKED
7411,http://www.heavens-lounge.net/lounge/,Internet Tools,BLGSERV,BLOCKED
8417,http://www.krucil.com/forumdisplay.php?f=5,Internet Tools,COMM,BLOCKED
1031,http://dcemail.com,Internet Tools,EMAIL,BLOCKED
721,http://bravo-pass.com,Internet Tools,GRP,BLOCKED
1519,http://forums.sawomatang.net,Internet Tools,GRP,BLOCKED
2746,http://pass-fan.com/faq.php,Internet Tools,GRP,BLOCKED
2748,http://passvipclub.com,Internet Tools,GRP,BLOCKED
3286,http://theoldtigersden.com,Internet Tools,GRP,BLOCKED
6822,http://www.gajahnungging.com,Internet Tools,GRP,BLOCKED
12686,http://zixzaxteam.net,Internet Tools,GRP,BLOCKED
2585,http://neworder.box.sk,Internet Tools,HACK,BLOCKED
7238,http://www.grabit.to,Internet Tools,HACK,BLOCKED
805,http://ceritacerita.com,Internet Tools,HOST,BLOCKED
2486,http://mupeng.com/forums/198-18-Tahun-Aza,Internet Tools,HOST,BLOCKED
951,http://crito.jw.lt,Political,FEXP,BLOCKED
1076,http://digg.com/news/entertainment/lalat_x_artis_bugil_indonesia_com,Political,FEXP,BLOCKED
6742,http://www.freespeech.org,Political,FEXP,BLOCKED
6743,http://www.freespeechcoalition.com,Political,FEXP,BLOCKED
8742,http://www.mahasiswaonline.info,Political,FEXP,BLOCKED
12077,http://www.warungbebas.com,Political,FEXP,BLOCKED
1947,http://indonbodoh.blogspot.com,Political,POLR,BLOCKED
13437,http://guerrillagirls.com,Political,WOMR,BLOCKED
14536,http://hightimes.com,Social,ALDR,BLOCKED
4867,http://www.beer.com,Social,ALDR,BLOCKED
5104,http://www.budweiser.com,Social,ALDR,BLOCKED
9922,http://www.ph-store.com,Social,COMM,BLOCKED
167,http://adultfriendfinder.com,Social,DATE,BLOCKED
3663,http://worldsingles.com,Social,DATE,BLOCKED
5826,http://www.date.com,Social,DATE,BLOCKED
9632,http://www.online-dating.org,Social,DATE,BLOCKED
14539,http://www.spark.com,Social,DATE,BLOCKED
127,http://9nagatangkas.com,Social,GAME,BLOCKED
10685,http://www.secondlife.com,Social,GAME,BLOCKED
12684,http://zheg.nastie.co.uk,Social,GAME,BLOCKED
17499,http://gayindonesiaforum.com,Social,GAYL,BLOCKED
3373,http://transsexual.org,Social,GAYL,BLOCKED
3721,http://www.365gay.com,Social,GAYL,BLOCKED
4905,http://www.bglad.com,Social,GAYL,BLOCKED
4961,http://www.bisexual.org,Social,GAYL,BLOCKED
6858,http://www.gayegypt.com,Social,GAYL,BLOCKED
6863,http://www.gayhealth.com,Social,GAYL,BLOCKED
6881,http://www.gayscape.com,Social,GAYL,BLOCKED
7030,http://www.glbtq.com,Social,GAYL,BLOCKED
7032,http://www.glil.org,Social,GAYL,BLOCKED
7748,http://www.ifge.org,Social,GAYL,BLOCKED
7763,http://www.iglhrc.org,Social,GAYL,BLOCKED
8577,http://www.lesbian.org,Social,GAYL,BLOCKED
10228,http://www.queernet.org,Social,GAYL,BLOCKED
10594,http://www.samesexmarriage.ca,Social,GAYL,BLOCKED
11605,http://www.tsroadmap.com,Social,GAYL,BLOCKED
6845,http://www.gay.com,Social,GAYL DATE,BLOCKED
124,http://88bola.com,Social,GMB,BLOCKED
706,http://bolanaga.com,Social,GMB,BLOCKED
707,http://bolauntung.com,Social,GMB,BLOCKED
708,http://bolazoom.com,Social,GMB,BLOCKED
1473,http://fifabola.com,Social,GMB,BLOCKED
1946,http://indolucky7.com,Social,GMB,BLOCKED
2744,http://pasarbola2.com,Social,GMB,BLOCKED
3235,http://taruhan.org,Social,GMB,BLOCKED
3817,http://www.aceshigh.com,Social,GMB,BLOCKED
3905,http://www.agenbola.com,Social,GMB,BLOCKED
3909,http://www.agent234.com,Social,GMB,BLOCKED
4566,http://www.asianbookie.com/ch/index.cfm?,Social,GMB,BLOCKED
7865,http://www.indoagen.com,Social,GMB,BLOCKED
14725,http://www.pokerstars.com,Social,GMB,BLOCKED
10912,http://www.slotland.com,Social,GMB,BLOCKED
10488,http://www.rotten.com,Social,HATE PROV MISC,BLOCKED
14754,http://godhatesfags.com,Social,HATE REL,BLOCKED
1063,http://dewajudi.net,Social,MISC,BLOCKED
2906,http://rajatangkas.com,Social,MISC,BLOCKED
5036,http://www.bmezine.com,Social,MISC,BLOCKED
125,http://8thstreetlatinas.com,Social,PORN,BLOCKED
253,http://alt.com,Social,PORN,BLOCKED
922,http://coolgaylinks.com,Social,PORN,BLOCKED
14516,http://famousnudes.com,Social,PORN,BLOCKED
1612,http://gayonthenet.net,Social,PORN,BLOCKED
14615,http://hardsextube.com,Social,PORN,BLOCKED
14780,http://hotgaylist.com,Social,PORN,BLOCKED
2211,http://lesboerotica.net,Social,PORN,BLOCKED
14782,http://manhub.com,Social,PORN,BLOCKED
2420,http://milfhunter.com,Social,PORN,BLOCKED
14610,http://pornhub.com,Social,PORN,BLOCKED
2920,http://realdoll.com,Social,PORN,BLOCKED
14779,http://rockettube.com,Social,PORN,BLOCKED
3298,http://thetend.com,Social,PORN,BLOCKED
3758,http://www.89.com,Social,PORN,BLOCKED
4256,http://www.amateurpages.com,Social,PORN,BLOCKED
14785,http://www.ashemaletube.com,Social,PORN,BLOCKED
4564,http://www.asianangels.com,Social,PORN,BLOCKED
4737,http://www.babylon-x.com,Social,PORN,BLOCKED
5661,http://www.crazyshit.com,Social,PORN,BLOCKED
5744,http://www.cutegirlfriend.net,Social,PORN,BLOCKED
6318,http://www.erogeschichten.com,Social,PORN,BLOCKED
6493,http://www.famouspornstars.com,Social,PORN,BLOCKED
6528,http://www.femalestars.com,Social,PORN,BLOCKED
6711,http://www.freegaypornfinder.com,Social,PORN,BLOCKED
14778,http://www.freegaypornhdtube.com,Social,PORN,BLOCKED
6794,http://www.fuckingfreemovies.com,Social,PORN,BLOCKED
14783,http://www.gotgayporn.com,Social,PORN,BLOCKED
7423,http://www.hereistheporn.com,Social,PORN,BLOCKED
7665,http://www.hustler.com,Social,PORN,BLOCKED
8579,http://www.lesbiansubmission.com,Social,PORN,BLOCKED
8999,http://www.milfbangvideos.com,Social,PORN,BLOCKED
9298,http://www.naughty.com,Social,PORN,BLOCKED
9866,http://www.penisbot.com,Social,PORN,BLOCKED
9870,http://www.penthouse.com,Social,PORN,BLOCKED
9892,http://www.persiankitty.com,Social,PORN,BLOCKED
9980,http://www.playboy.com,Social,PORN,BLOCKED
10183,http://www.purenudism.net,Social,PORN,BLOCKED
10186,http://www.purextc.com,Social,PORN,BLOCKED
10745,http://www.sexy-geschichten.at,Social,PORN,BLOCKED
10854,http://www.simplygay.com,Social,PORN,BLOCKED
12163,http://www.wetplace.com,Social,PORN,BLOCKED
12258,http://www.worldsex.com,Social,PORN,BLOCKED
12423,http://www.youngerbabes.com,Social,PORN,BLOCKED
14609,http://xvideos.com,Social,PORN,BLOCKED
14614,http://youjizz.com,Social,PORN,BLOCKED
12653,http://youporn.com,Social,PORN,BLOCKED
5740,http://www.cultoferotica.com,Social,PORN MISC,BLOCKED
9160,http://www.mujeres59.com.ar,Social,PORN MISC,BLOCKED
12331,http://www.xxxemovie.info,Social,PORN MISC,BLOCKED
14627,http://beeg.com,Social,PORN MMED,BLOCKED
14611,http://redtube.com,Social,PORN MMED,BLOCKED
14626,http://spankwire.com,Social,PORN MMED,BLOCKED
14625,http://www.livejasmin.com,Social,PORN MMED,BLOCKED
14608,http://xhamster.com,Social,PORN MMED,BLOCKED
10726,http://www.sex.com,Social,PORN PROV,BLOCKED
580,http://beritapanasselebritis.blogspot.com,Social,PROV,BLOCKED
2660,http://novel4u.com,Social,PROV,BLOCKED
2844,http://profilselebryti.blogspot.com,Social,PROV,BLOCKED
3717,http://www.2cutelingerie.com,Social,PROV,BLOCKED
3729,http://www.3wishes.com,Social,PROV,BLOCKED
5045,http://www.bodylingerie.com,Social,PROV,BLOCKED
5367,http://www.chantelle.com,Social,PROV,BLOCKED
5624,http://www.coquette.com,Social,PROV,BLOCKED
5871,http://www.delicates.co.uk,Social,PROV,BLOCKED
6620,http://www.flirtylingerie.com,Social,PROV,BLOCKED
6667,http://www.fotoartis.in,Social,PROV,BLOCKED
8642,http://www.linay.com,Social,PROV,BLOCKED
8647,http://www.lingeriebowl.com,Social,PROV,BLOCKED
9777,http://www.panties.com,Social,PROV,BLOCKED
10921,http://www.smog.pl,Social,PROV,BLOCKED
11579,http://www.trashy.com,Social,PROV,BLOCKED
4228,http://www.altpenis.com,Social,PUBH,BLOCKED
5077,http://www.breastenlargementmagazine.com,Social,PUBH,BLOCKED
7827,http://www.implantinfo.com,Social,PUBH,BLOCKED
579,http://beritamuslim.wordpress.com,Social,REL,BLOCKED
1418,http://exmuslim.wordpress.com,Social,REL,BLOCKED
1949,http://indonesia.faithfreedom.org/doc/,Social,REL,BLOCKED
1950,http://indonesia.faithfreedom.org/forum/muhammad-bukan-nabi-t1901/,Social,REL,BLOCKED
2135,http://komiknabimuhammad.blogspot.com,Social,REL,BLOCKED
2146,http://kostenlose-toplisten.de,Social,REL,BLOCKED
2483,http://muhammadture.com,Social,REL,BLOCKED
3292,http://thequran.com,Social,REL,BLOCKED
3378,http://trulyislam.blogspot.com,Social,REL,BLOCKED
3251,http://teenadvice.about.com,Social,XED,BLOCKED
8061,http://www.itsyoursexlife.com,Social,XED,BLOCKED
10027,http://www.positive.org,Social,XED,BLOCKED
10073,http://www.premaritalsex.info,Social,XED,BLOCKED
10748,http://www.sfsi.org,Social,XED,BLOCKED
10826,http://www.siecus.org,Social,XED,BLOCKED
