url,theme,urlCategories,urlCategories,urlCategories,urlCategories,status,explanation
http://www.torontosun.com,Political,FEXP,,,,BLOCKED,Connection Error
http://www.femalestars.com,Social,PORN,,,,BLOCKED,Connection Error
http://www.usafa.af.mil,Conflict & Security,FREL,USMIL,,,INACCESSIBLE,DNS Error
http://ftunnel.net,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://g-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://gtunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://h-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://htunnel.net,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://i-tunnel.net,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://j-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://jtunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://k-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://l-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://ltunnel.net,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://m-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://n-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://ntunnel.net,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://o-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://otunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://otunnel.net,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://p-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://q-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://r-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://t-tunnel.net,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://v-tunnel.org,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://w-tunnel.com,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://ztunnel.org,Internet Tools,ANON,,,,INACCESSIBLE,DNS Error
http://www.youtube.com,Political,FEXP,,,,BLOCKED,DNSResolvelocal
http://www.youtube.com/watch?v=1Wu5e50zrPA&feature=fvst,Political,FEXP,,,,BLOCKED,DNSResolvelocal
http://www.youtube.com/watch?v=MGuSK2hVukA,Political,FEXP,,,,BLOCKED,DNSResolvelocal
http://www.youtube.com/watch?v=OMz0aIM2_sM,Political,FEXP,,,,BLOCKED,DNSResolvelocal
http://www.youtube.com/watch?v=pDrti5T93T8,Political,FEXP,,,,BLOCKED,DNSResolvelocal
