Date,Blocked URL
June 20,google.com
June 20,viber.com
June 20,whatsapp.com
June 20,youtube.com
June 23,alarabiya.net
June 23,aljazeera.net
June 23,facebook.com
June 23,google.com
June 23,twitter.com
June 23,viber.com
June 23,whatsapp.com
June 23,youtube.com
June 24,alarabiya.net
June 24,aljazeera.net
June 24,facebook.com
June 24,google.com
June 24,twitter.com
June 24,viber.com
June 24,whatsapp.com
June 24,youtube.com
June 25,alarabiya.net
June 25,aljazeera.net
June 25,facebook.com
June 25,google.com
June 25,twitter.com
June 25,viber.com
June 25,whatsapp.com
June 25,youtube.com
June 26,alarabiya.net
June 26,aljazeera.net
June 26,facebook.com
June 26,skype.com
June 26,tango.me
June 26,twitter.com
June 26,viber.com
June 26,whatsapp.com
June 26,youtube.com
June 27,alarabiya.net
June 27,aljazeera.net
June 27,facebook.com
June 27,skype.com
June 27,tango.me
June 27,twitter.com
June 27,viber.com
June 27,whatsapp.com
June 27,youtube.com
July 2,alarabiya.net
July 2,aljazeera.net
July 3,alarabiya.net
July 3,aljazeera.net
July 4,alarabiya.net
July 4,aljazeera.net
July 4,iraqislami.own0.com
July 7,alarabiya.net
July 7,aljazeera.net
July 7,facebook.com
July 7,herakiq.com
July 7,iraqislami.own0.com
July 7,skype.com
July 7,tango.me
July 7,twitter.com
July 7,viber.com
July 7,whatsapp.com
July 7,youtube.com
July 8,alarabiya.net
July 8,aljazeera.net
July 8,facebook.com
July 8,herakiq.com
July 8,iraqislami.own0.com
July 8,skype.com
July 8,tango.me
July 8,twitter.com
July 8,viber.com
July 8,whatsapp.com
July 8,youtube.com
July 9,alarabiya.net
July 9,aljazeera.net
July 9,facebook.com
July 9,herakiq.com
July 9,iraqislami.own0.com
July 9,skype.com
July 9,tango.me
July 9,twitter.com
July 9,viber.com
July 9,whatsapp.com
July 9,youtube.com
July 10,alarabiya.net
July 10,aljazeera.net
July 10,facebook.com
July 10,herakiq.com
July 10,iraqislami.own0.com
July 10,skype.com
July 10,tango.me
July 10,twitter.com
July 10,viber.com
July 10,whatsapp.com
July 10,youtube.com
July 11,alarabiya.net
July 11,aljazeera.net
July 11,facebook.com
July 11,herakiq.com
July 11,iraqislami.own0.com
July 11,skype.com
July 11,tango.me
July 11,twitter.com
July 11,viber.com
July 11,whatsapp.com
July 11,youtube.com
July 14,alarabiya.net
July 14,aljazeera.net
July 14,facebook.com
July 14,herakiq.com
July 14,iraqislami.own0.com
July 14,skype.com
July 14,tango.me
July 14,twitter.com
July 14,viber.com
July 14,whatsapp.com
July 14,youtube.com
July 15,alarabiya.net
July 15,aljazeera.net
July 15,facebook.com
July 15,herakiq.com
July 15,iraqislami.own0.com
July 15,muslm.org
July 15,skype.com
July 15,tango.me
July 15,twitter.com
July 15,viber.com
July 15,whatsapp.com
July 15,youtube.com
July 16,alarabiya.net
July 16,aljazeera.net
July 16,facebook.com
July 16,herakiq.com
July 16,iraqislami.own0.com
July 16,muslm.org
July 16,skype.com
July 16,tango.me
July 16,twitter.com
July 16,viber.com
July 16,whatsapp.com
July 16,youtube.com
July 17,alarabiya.net
July 17,aljazeera.net
July 17,facebook.com
July 17,herakiq.com
July 17,iraqislami.own0.com
July 17,muslm.org
July 17,skype.com
July 17,tango.me
July 17,twitter.com
July 17,viber.com
July 17,whatsapp.com
July 17,youtube.com
July 18,alarabiya.net
July 18,aljazeera.net
July 18,facebook.com
July 18,herakiq.com
July 18,iraqislami.own0.com
July 18,muslm.org
July 18,skype.com
July 18,tango.me
July 18,twitter.com
July 18,viber.com
July 18,whatsapp.com
July 18,youtube.com
July 21,alarabiya.net
July 21,aljazeera.net
July 21,facebook.com
July 21,herakiq.com
July 21,iraqislami.own0.com
July 21,muslm.org
July 21,skype.com
July 21,tango.me
July 21,twitter.com
July 21,viber.com
July 21,whatsapp.com
July 21,youtube.com
